Thickness,BedTop,GS,SectName,SectLoc,UTM_E,UTM_N,BedNumber,Reservoir,Amalg,PlanarLaminations,RippleLaminations,CrossBedding,ClimbingRipples,NestedScourfills,RipUpClasts,DishStructures,WavyLaminations,ImbricatedClasts,Facies,FaciesBlockNum,Element,ElementBlockNum,ElementSet,ElementSetBlockNum,BedThick,BedMeanGS,BedMaxGS,FaciesThick,FaciesMeanGS,FaciesNetGross,ElementThick,ElementMeanGS,ElementSetThick,ElementSetMeanGS,ElementSetNetGross
0.28,0,1.42226268,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.29,0,1.407839603,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.3,0,1.393416526,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.31,0,1.37899345,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.32,0,1.364570373,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.33,0,1.350147296,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.34,0,1.33572422,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.35,0,1.308801142,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.36,0,1.281878064,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.37,0,1.254954987,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.38,0,1.228031909,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.39,0,1.201108831,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.4,0,1.197958851,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.41,1,1.19480887,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,0.42,1.721729147,2.402217662,,,,,,,,
0.42,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.43,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.44,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.45,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.46,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.47,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.48,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.49,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.5,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.51,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.52,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.53,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.54,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.55,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.56,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.57,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.58,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.59,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.6,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.61,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.62,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.63,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.64,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.65,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.66,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.67,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.68,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.69,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.7,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.71,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.72,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.73,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.74,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.75,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.76,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.77,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.78,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.79,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.8,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.81,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.82,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.83,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.84,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.85,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.86,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.87,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.88,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.89,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.9,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.91,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.92,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.93,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.94,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.95,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.96,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.97,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.98,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.99,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.01,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.02,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.03,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.04,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.05,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.06,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.07,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.08,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.09,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.1,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.11,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.12,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.13,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.14,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.15,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.16,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.17,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.18,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.19,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.2,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.21,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.22,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.23,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.24,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.25,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.26,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.27,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.28,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.29,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.3,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.31,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.32,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.33,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.34,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.35,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.36,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.37,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.38,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.39,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.4,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.41,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.42,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.43,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.44,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.45,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.46,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.47,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
1.48,0,,MaudBay,NWMayneIsland,478545,5413334,,0,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
