Thickness,ContinuousMeasurement1,ContinuousMeasurement2
3.3,0.522242039,0.131970622
3.31,0.764490048,0.787438282
3.32,0.864668736,0.857928607
3.33,0.487816433,0.008082595
3.34,0.753209777,0.405072801
3.35,0.646520342,0.783722172
3.36,0.846900332,0.456642825
3.37,0.810581046,0.12958297
3.38,0.682472222,0.696328516
3.39,0.344024097,0.228048104
3.4,0.181829626,0.027385953
3.41,0.997581929,0.075545564
3.42,0.063112364,0.770290626
3.43,0.288450232,0.332672798
3.44,0.953405364,0.230727367
3.45,0.503202895,0.887306557
3.46,0.929229953,0.597734997
3.47,0.209968001,0.954095498
3.48,0.116148024,0.838529486
3.49,0.168685973,0.25019538
3.5,0.296729465,0.387420064
3.51,0.579743352,0.069648697
3.52,0.46969899,0.676796216
3.53,0.584007917,0.272460865
3.54,0.177022293,0.912967594
3.55,0.808248252,0.718476818
3.56,0.609026153,0.119568296
3.57,0.390321551,0.144589516
3.58,0.111921613,0.427038144
3.59,0.347526995,0.088952465
3.6,0.693293961,0.409718069
3.61,0.750301285,0.325964328
3.62,0.358645433,0.325173824
3.63,0.642226477,0.565404918
3.64,0.145475523,0.205333454
3.65,0.845742188,0.784473221
3.66,0.873294477,0.429339262
3.67,0.961614995,0.879368934
3.68,0.890067458,0.975385006
3.69,0.20475035,0.558324546
3.7,0.436227416,0.235539614
3.71,0.628369161,0.995610411
3.72,0.521246294,0.098529311
3.73,0.844194396,0.515122097
3.74,0.891690953,0.683030855
3.75,0.142060624,0.745342207
3.76,0.444035488,0.415676175
3.77,0.00485034,0.425621901
3.78,0.478176219,0.510203314
3.79,0.744132916,0.406887171
3.8,0.93306458,0.030589863
3.81,0.926574839,0.732481387
3.82,0.975807638,0.68700752
3.83,0.936251947,0.056576567
3.84,0.618641447,0.549363026
3.85,0.412277739,0.08970083
3.86,0.389650025,0.132934174
3.87,0.372183536,0.879196988
3.88,0.404703083,0.214366809
3.89,0.892929816,0.958488161
3.9,0.196943864,0.343510976
3.91,0.9482116,0.162407992
3.92,0.220649284,0.744189479
3.93,0.825457601,0.257179744
3.94,0.711566397,0.139662094
3.95,0.878734346,0.769364871
3.96,0.595868113,0.53197189
3.97,0.009554328,0.28078079
3.98,0.680153962,0.306154749
3.99,0.661078985,0.308116057
4,0.589619087,0.812113933
4.01,0.97979058,0.933997898
4.02,0.290768081,0.371241885
4.03,0.261091039,0.009685045
4.04,0.58665038,0.222150834
4.05,0.171955406,0.802423702
4.06,0.118007517,0.515668685
4.07,0.180375985,0.322779111
4.08,0.884590934,0.528683841
4.09,0.696171724,0.136896099
4.1,0.940557849,0.122254645
4.11,0.803971369,0.740089366
4.12,0.948886906,0.691177173
4.13,0.792192782,0.3484347
4.14,0.151261246,0.117111356
4.15,0.134293775,0.322289184
4.16,0.914514183,0.780151428
4.17,0.745302901,0.633572664
4.18,0.339093574,0.291435191
4.19,0.144080506,0.470979794
4.2,0.531005444,0.214497087
4.21,0.355440905,0.678677529
4.22,0.206754884,0.975889533
4.23,0.671427967,0.503529642
4.24,0.522061868,0.275868215
4.25,0.402566186,0.165586165
4.26,0.163856123,0.916364816
4.27,0.631098824,0.735587201
4.28,0.28226469,0.876771784
4.29,0.45660422,0.959754468
4.3,0.957993568,0.608085898
4.31,0.102426731,0.791402998
4.32,0.897509748,0.607822188
4.33,0.053434056,0.159691945
4.34,0.786547165,0.210655909
4.35,0.439951466,0.077904056
4.36,0.853517159,0.851356925
4.37,0.632941489,0.742072923
4.38,0.662167096,0.134559715
4.39,0.862251859,0.192207725
4.4,0.711777849,0.356658048
4.41,0.19689549,0.13025716
4.42,0.971479057,0.474292823
4.43,0.865759031,0.317973681
4.44,0.484620391,0.54772769
4.45,0.899000099,0.431127293
4.46,0.262501105,0.975568872
4.47,0.799747397,0.482699852
4.48,0.673299801,0.708935249
4.49,0.061021105,0.458105129
4.5,0.610013526,0.372639457
4.51,0.198589662,0.425942433
4.52,0.373352884,0.145944425
4.53,0.062353868,0.65247355
4.54,0.399618605,0.248749895
4.55,0.592618055,0.984001127
4.56,0.017780855,0.552545157
4.57,0.07767376,0.23546556
4.58,0.284674126,0.70544436
4.59,0.121008684,0.093286176
4.6,0.463126959,0.681284631
4.61,0.97125698,0.019440374
4.62,0.079510097,0.257154359
4.63,0.118345821,0.748943317
4.64,0.334610729,0.014014114
4.65,0.962173917,0.275283003
4.66,0.067112004,0.26188639
4.67,0.31507065,0.537572898
4.68,0.515726241,0.008446636
4.69,0.791888449,0.39305253
4.7,0.915716258,0.944785321
4.71,0.21520967,0.33368123
4.72,0.471631617,0.239349025
4.73,0.960423201,0.709376474
4.74,0.985506268,0.168091663
4.75,0.077472247,0.20240401
4.76,0.539411957,0.695641064
4.77,0.862802197,0.739408354
4.78,0.696834257,0.086292345
4.79,0.200142193,0.999892559
4.8,0.114238842,0.709396412
4.81,0.207571932,0.631126968
4.82,0.23352378,0.192915061
4.83,0.705437254,0.669469499
4.84,0.796912081,0.627523209
4.85,0.552746119,0.301886681
4.86,0.705995506,0.015803516
4.87,0.164446917,0.12028539
4.88,0.643960438,0.86164733
4.89,0.619831553,0.921946486
4.9,0.575908286,0.699014002
4.91,0.240814201,0.21641075
4.92,0.331980241,0.997682834
4.93,0.766970596,0.279000049
4.94,0.203279951,0.412718197
4.95,0.740788256,0.914770423
4.96,0.868893791,0.283820978
4.97,0.217715728,0.717303075
4.98,0.363983121,0.306281966
4.99,0.143430406,0.406566407
5,0.293290243,0.383891523
5.01,0.623542934,0.552033963
5.02,0.640748519,0.717756749
5.03,0.120273946,0.852386017
5.04,0.359221529,0.859517195
5.05,0.492393045,0.297520404
5.06,0.914178112,0.951994198
5.07,0.391966891,0.460414536
5.08,0.953367086,0.521890787
5.09,0.63799802,0.802471318
5.1,0.645179085,0.581031851
5.11,0.490530786,0.89124331
5.12,0.321608799,0.767332069
5.13,0.020453534,0.55900214
5.14,0.608413,0.995299535
5.15,0.754463126,0.317310508
5.16,0.807134262,0.027743819
5.17,0.679049751,0.623233498
5.18,0.106583966,0.615697989
5.19,0.157436126,0.93597483
5.2,0.975274322,0.324085172
5.21,0.333767506,0.017761713
5.22,0.124777767,0.633383843
5.23,0.575296726,0.229689868
5.24,0.944790945,0.612799975
5.25,0.989211457,0.648694197
5.26,0.506234412,0.816758972
5.27,0.185260475,0.23566287
5.28,0.098845585,0.171557707
5.29,0.898874438,0.5556563
5.3,0.596619589,0.135143981
5.31,0.178321136,0.974008973
5.32,0.356075163,0.452989058
5.33,0.745631434,0.300229183
5.34,0.415676405,0.088472711
5.35,0.4407419,0.724588906
5.36,0.650400183,0.861985455
5.37,0.791771152,0.358768594
5.38,0.923991665,0.393680646
5.39,0.317420303,0.970513663
5.4,0.645267468,0.607598156
5.41,0.178841145,0.260460192
5.42,0.0339767,0.315213864
5.43,0.721323095,0.687079457
5.44,0.573150908,0.122584535
5.45,0.825116808,0.731301232
5.46,0.654881876,0.397223219
5.47,0.634235439,0.159039173
5.48,0.958164244,0.02725781
5.49,0.335337846,0.688130153
5.5,0.766575893,0.666549594
5.51,0.667045023,0.886673169
5.52,0.485646444,0.498641801
5.53,0.256406463,0.388248093
5.54,0.755139118,0.730108328
5.55,0.888058188,0.355046084
5.56,0.237502808,0.457453154
5.57,0.531922259,0.596346986
5.58,0.091545276,0.776924661
5.59,0.891506904,0.29059769
5.6,0.526807991,0.833591888
5.61,0.839974133,0.537773484
5.62,0.881345425,0.597200069
5.63,0.258507877,0.403848309
5.64,0.615994129,0.802588338
5.65,0.102618834,0.60716998
5.66,0.436227743,0.865919571
5.67,0.888519169,0.136649455
5.68,0.764743714,0.488841883
5.69,0.667609591,0.889485682
5.7,0.605525385,0.701014403
5.71,0.006354536,0.874652979
5.72,0.832541854,0.079418339
5.73,0.927433326,0.883897726
5.74,0.241675775,0.979843496
5.75,0.769611566,0.314344724
5.76,0.734376832,0.974786251
5.77,0.069294706,0.292551156
5.78,0.530554574,0.638100968
5.79,0.602377267,0.96230356
5.8,0.369695122,0.604722692
5.81,0.529041889,0.553783716
5.82,0.43001894,0.823390972
5.83,0.35795611,0.780435272
5.84,0.666242026,0.402903592
5.85,0.362565714,0.255676096
5.86,0.393598122,0.235093829
5.87,0.922759741,0.022509459
5.88,0.730977831,0.667534971
5.89,0.730830391,0.667468501
5.9,0.387108282,0.57001369
5.91,0.863541634,0.068081016
5.92,0.634502031,0.215366729
5.93,0.651212044,0.014797526
5.94,0.150067536,0.038733621
5.95,0.787972701,0.72107784
5.96,0.692623399,0.052124999
5.97,0.547044788,0.981004947
5.98,0.353171365,0.424458769
5.99,0.373481945,0.012866824
6,0.593909187,0.089209619
6.01,0.04225563,0.760396347
6.02,0.785900125,0.706487859
6.03,0.115298323,0.251553258
6.04,0.394047587,0.353683104
6.05,0.809807149,0.203000788
6.06,0.350174045,0.217040843
6.07,0.776728261,0.243575896
6.08,0.742454488,0.608594091
6.09,0.140049908,0.772149029
6.1,0.904713485,0.245455354
6.11,0.391620597,0.951585082
6.12,0.628943007,0.217224011
6.13,0.00783783,0.032129424
6.14,0.507002109,0.089633164
6.15,0.293229974,0.887297782
6.16,0.938175932,0.033234806
6.17,0.022317464,0.937696906
6.18,0.521699816,0.640298562
6.19,0.179153358,0.788334733
6.2,0.149311966,0.360993692
6.21,0.829657407,0.172979065
6.22,0.885950026,0.014259813
6.23,0.649906799,0.001899453
6.24,0.967177847,0.636303467
6.25,0.552284216,0.160082357
6.26,0.940097793,0.355498315
6.27,0.020421748,0.899906564
6.28,0.944983903,0.519808943
6.29,0.609160188,0.823961303
6.3,0.02444378,0.552790839
6.31,0.182799837,0.012912105
6.32,0.554842669,0.598176092
6.33,0.904756139,0.406850708
6.34,0.623699731,0.059400875
6.35,0.323864997,0.4712148
6.36,0.208698778,0.631510515
6.37,0.032429644,0.929036799
6.38,0.919887711,0.061832603
6.39,0.840401655,0.069181918
6.4,0.580132567,0.928466534
6.41,0.975028058,0.919669054
6.42,0.75008698,0.213022503
6.43,0.167122369,0.06578372
6.44,0.625096878,0.362745672
6.45,0.299983694,0.990110577
6.46,0.374008672,0.04888227
6.47,0.02137991,0.474028576
6.48,0.641865064,0.386107533
6.49,0.447748172,0.334527107
6.5,0.762886725,0.961394642
6.51,0.194353926,0.914939662
6.52,0.734254595,0.841827885
6.53,0.297744469,0.491543749
6.54,0.820072004,0.223076746
6.55,0.467192817,0.368564449
6.56,0.978488049,0.848979546
6.57,0.120123925,0.169295654
6.58,0.154702131,0.756963122
6.59,0.817972849,0.551483012
6.6,0.421440786,0.528623933
6.61,0.285832559,0.489851494
6.62,0.449867714,0.696850386
6.63,0.801425149,0.877818559
6.64,0.326439326,0.463967602
6.65,0.136217766,0.299440142
6.66,0.082364728,0.214908798
6.67,0.143791552,0.545834387
6.68,0.235567913,0.39883861
6.69,0.692454123,0.761723018
6.7,0.346552734,0.406833488
6.71,0.4659158,0.775784514
6.72,0.682517521,0.426692739
6.73,0.742856294,0.981234509
6.74,0.382788989,0.469742463
6.75,0.982910846,0.765720125
6.76,0.201228318,0.058418304
6.77,0.353365978,0.090330599
6.78,0.978438784,0.090882226
6.79,0.280683523,0.876322393
6.8,0.234604354,0.876276808
6.81,0.307394654,0.389516329
6.82,0.092434257,0.674337377
6.83,0.711485338,0.759179323
6.84,0.556266661,0.504946814
6.85,0.116608961,0.075735644
6.86,0.683350842,0.269185379
6.87,0.074321025,0.40453261
6.88,0.902734606,0.648840287
6.89,0.516735293,0.321965064
6.9,0.903966693,0.213683299
6.91,0.603427586,0.458139817
6.92,0.204577105,0.767053849
6.93,0.081603625,0.108572544
6.94,0.083605728,0.08298074
6.95,0.290987061,0.12684644
6.96,0.675655638,0.572362036
6.97,0.0934974,0.780715991
6.98,0.727481319,0.037874129
6.99,0.021896303,0.197429928
7,0.459916436,0.576977316
7.01,0.038823598,0.924331154
7.02,0.918499882,0.330018802
7.03,0.992650348,0.768486916
7.04,0.470362965,0.490507683
7.05,0.586392416,0.076231851
7.06,0.305697442,0.569841414
7.07,0.257799372,0.078148549
7.08,0.749846186,0.164897619
7.09,0.975388722,0.196093139
7.1,0.019371565,0.349975063
7.11,0.905107369,0.532720304
7.12,0.398448872,0.355845407
7.13,0.965785871,0.914267225
7.14,0.552220905,0.006738306
7.15,0.260679452,0.195089914
7.16,0.188117634,0.981419907
7.17,0.14091868,0.575751613
7.18,0.009592054,0.969600083
7.19,0.605608711,0.223158076
7.2,0.530018806,0.796354234
7.21,0.335234717,0.665396002
7.22,0.045003872,0.452994333
7.23,0.511956093,0.306595737
7.24,0.464132419,0.896358479
7.25,0.94049072,0.80282229
7.26,0.11663204,0.943134421
7.27,0.018351117,0.401384269
7.28,0.145956431,0.671305596
7.29,0.04590066,0.611358224
7.3,0.393327579,0.887555822
7.31,0.510498813,0.451941987
7.32,0.723891082,0.726356917
7.33,0.464816104,0.776890566
7.34,0.364286742,0.628670096
7.35,0.165307031,0.270261418
7.36,0.867691265,0.391107548
7.37,0.281428952,0.650157616
7.38,0.077438491,0.227822167
7.39,0.315791554,0.767358701
7.4,0.754394078,0.153460537
7.41,0.690809826,0.611865227
7.42,0.970375117,0.522373765
7.43,0.187810176,0.521279005
7.44,0.024890263,0.026356973
7.45,0.789556063,0.797653284
7.46,0.641670221,0.373485677
7.47,0.922326247,0.555604313
7.48,0.998685201,0.231826226
7.49,0.411391357,0.270371107
7.5,0.671539436,0.442194008
7.51,0.192910177,0.523995342
7.52,0.214105453,0.949147696
7.53,0.909931807,0.112295441
7.54,0.466586616,0.130233839
7.55,0.675368043,0.047487186
7.56,0.916514145,0.91482643
7.57,0.624102133,0.82827768
7.58,0.236869356,0.926723161
7.59,0.200076629,0.489134657
7.6,0.341180081,0.691627621
7.61,0.21768983,0.661485662
7.62,0.03144494,0.573767915
7.63,0.245025426,0.848487489
7.64,0.887096314,0.357370715
7.65,0.408190042,0.601939757
7.66,0.408991756,0.509921902
7.67,0.628232091,0.050784759
7.68,0.186688421,0.783689338
7.69,0.576777362,0.87904105
7.7,0.134767052,0.041017918
7.71,0.43036623,0.737050219
7.72,0.783930566,0.725737464
7.73,0.04236375,0.712647778
7.74,0.919272281,0.313335539
7.75,0.374666386,0.518577101
7.76,0.406089401,0.104435484
7.77,0.367740673,0.368686005
7.78,0.592870848,0.699468405
7.79,0.966827209,0.359831246
7.8,0.95674478,0.531688501
7.81,0.303850523,0.592467476
7.82,0.949660175,0.891757122
7.83,0.416311121,0.821713548
7.84,0.080268445,0.934440758
7.85,0.80244125,0.469937994
7.86,0.600440959,0.324990348
7.87,0.557464182,0.001450556
7.88,0.262193857,0.184497563
7.89,0.895189401,0.704955809
7.9,0.550544169,0.5554244
7.91,0.902958192,0.563525825
7.92,0.813126687,0.179467918
7.93,0.161411029,0.849618226
7.94,0.761618262,0.293160717
7.95,0.3719912,0.911437348
7.96,0.889923987,0.628848236
7.97,0.33443023,0.849689815
7.98,0.59976323,0.025502729
7.99,0.568583474,0.795024065
8,0.46385264,0.333899436
8.01,0.949484985,0.493989603
8.02,0.500912103,0.415647876
8.03,0.442747154,0.927359328
8.04,0.634646496,0.84066415
8.05,0.223901543,0.11428224
8.06,0.335900118,0.907929016
8.07,0.957196057,0.700355283
8.08,0.495949882,0.958000459
8.09,0.416156306,0.252094802
8.1,0.787666921,0.374053041
8.11,0.028652364,0.907898058
8.12,0.769179471,0.33386678
8.13,0.901952794,0.040664355
8.14,0.828793513,0.206149941
8.15,0.20608113,0.549767355
8.16,0.729480081,0.827274903
8.17,0.54982871,0.051784698
8.18,0.978792078,0.19774402
8.19,0.063457422,0.101046788
8.2,0.622125181,0.398103114
8.21,0.486619242,0.107552432
8.22,0.770321946,0.623945461
8.23,0.109741945,0.643710008
8.24,0.166924678,0.668118683
8.25,0.589423606,0.17907493
8.26,0.988419107,0.243721838
8.27,0.628364713,0.164512488
8.28,0.353136332,0.960740594
8.29,0.240241256,0.420211959
8.3,0.992042306,0.18217235
8.31,0.258259894,0.718395121
8.32,0.794341545,0.696898562
8.33,0.440900547,0.682358028
8.34,0.855932013,0.840683371
8.35,0.684024134,0.236936448
8.36,0.61768889,0.409930537
8.37,0.199321878,0.281282146
8.38,0.826618859,0.310246022
8.39,0.039275725,0.412708999
8.4,0.183577694,0.281103671
8.41,0.892673251,0.265252683
8.42,0.677277218,0.36980667
8.43,0.8989906,0.610230645
8.44,0.394713675,0.524326714
8.45,0.335306933,0.281658207
8.46,0.890349524,0.132694817
8.47,0.460456575,0.829056434
8.48,0.247861302,0.485784266
8.49,0.943967577,0.152356647
8.5,0.162166827,0.219405925
8.51,0.137495027,0.854287044
8.52,0.805520711,0.015604152
8.53,0.373005471,0.530177577
8.54,0.342534555,0.729092512
8.55,0.128564257,0.501448698
8.56,0.058424168,0.811765265
8.57,0.585122638,0.137251318
8.58,0.685323433,0.406183774
8.59,0.339490188,0.891434943
8.6,0.179802024,0.304976355
8.61,0.443948197,0.337606252
8.62,0.593675802,0.455094027
8.63,0.654303531,0.301287109
8.64,0.080541968,0.762605105
8.65,0.57864138,0.604538005
8.66,0.73730084,0.70716682
8.67,0.127264642,0.524724149
8.68,0.379682139,0.939061015
8.69,0.647314874,0.260680262
8.7,0.355120751,0.382900465
8.71,0.380151941,0.196675102
8.72,0.034653322,0.93317722
8.73,0.614034512,0.65108848
8.74,0.204432147,0.174945631
8.75,0.0464795,0.888373328
8.76,0.647194815,0.436874663
8.77,0.524037754,0.866794981
8.78,0.20099372,0.170657511
8.79,0.418568181,0.013543078
8.8,0.408187652,0.607957523
8.81,0.021288851,0.615384684
8.82,0.151405741,0.251571843
8.83,0.446854232,0.307507994
8.84,0.488524983,0.281622498
8.85,0.704295918,0.436040668
8.86,0.551414051,0.644077488
8.87,0.735178576,0.640324976
8.88,0.955360035,0.260357278
8.89,0.074199087,0.75664688
8.9,0.210916258,0.020023662
8.91,0.862951835,0.259760431
8.92,0.1907278,0.016814028
8.93,0.784671611,0.78600049
8.94,0.153394189,0.711356874
8.95,0.453526458,0.448510355
8.96,0.44307421,0.725109059
8.97,0.367805185,0.522621455
8.98,0.518229378,0.611269259
8.99,0.129063162,0.460537606
9,0.408267846,0.412921106
9.01,0.805358066,0.441247431
9.02,0.229749557,0.786765901
9.03,0.757239678,0.104120359
9.04,0.565194795,0.822441247
9.05,0.124535904,0.809611732
9.06,0.736862628,0.549779012
9.07,0.776734672,0.214891378
9.08,0.832410151,0.603786103
9.09,0.272428047,0.802899381
9.1,0.095156118,0.274102432
9.11,0.30080693,0.548047091
9.12,0.381568743,0.930455734
9.13,0.978245557,0.419237462
9.14,0.701473653,0.985732401
9.15,0.963039837,0.017746943
9.16,0.282849724,0.448334529
9.17,0.21308967,0.917633485
9.18,0.675324255,0.066323867
9.19,0.97466252,0.043620334
9.2,0.870228328,0.548812492
9.21,0.297943544,0.148580773
9.22,0.505894264,0.550510815
9.23,0.911014221,0.382102532
9.24,0.638671215,0.262170574
9.25,0.339923894,0.976996523
9.26,0.945206518,0.491244104
9.27,0.562781995,0.801940655
9.28,0.170958566,0.951403302
9.29,0.354881485,0.282704098
9.3,0.459975774,0.349483992
9.31,0.929715169,0.194671785
9.32,0.814085166,0.25073013
9.33,0.839856261,0.378754088
9.34,0.91763224,0.940793733
9.35,0.446909168,0.262380396
9.36,0.247854172,0.929490566
9.37,0.452111434,0.417566959
9.38,0.672021654,0.600197754
9.39,0.735191932,0.176835381
9.4,0.406595917,0.666811948
9.41,0.76455309,0.456662907
9.42,0.854304762,0.33202189
9.43,0.990300411,0.240487724
9.44,0.828515806,0.626520543
9.45,0.679619794,0.768837024
9.46,0.090698096,0.079734081
9.47,0.593909316,0.922147071
9.48,0.507993155,0.095194671
9.49,0.878153344,0.984331298
9.5,0.276443636,0.037656214
9.51,0.754110468,0.350086787
9.52,0.19668099,0.858915805
9.53,0.504313426,0.430950428
9.54,0.939789898,0.510572997
9.55,0.196600136,0.167233134
9.56,0.344176393,0.481569382
9.57,0.950882238,0.754050152
9.58,0.72699965,0.22318339
9.59,0.868269103,0.547684984
9.6,0.215329216,0.343632137
9.61,0.12982211,0.214516248
9.62,0.804762319,0.161028055
9.63,0.925992073,0.882065624
9.64,0.868354885,0.308122512
9.65,0.437145929,0.98405008
9.66,0.752004411,0.55103548
9.67,0.613022898,0.67318441
9.68,0.351329335,0.468902014
9.69,0.843545769,0.246074077
9.7,0.337437936,0.32110746
9.71,0.819885773,0.32066961
9.72,0.3860057,0.617844929
9.73,0.148111512,0.651291807
9.74,0.791515563,0.530442208
9.75,0.656764068,0.085036808
9.76,0.280265542,0.701663676
9.77,0.381993161,0.556319733
9.78,0.071566253,0.872830514
9.79,0.286956524,0.481051778
9.8,0.870671025,0.673537013
9.81,0.78006877,0.838091138
9.82,0.412388094,0.887909897
9.83,0.732838469,0.084486437
9.84,0.504586004,0.172834341
9.85,0.508305307,0.595971975
9.86,0.728983827,0.277269827
9.87,0.902046554,0.069884235
9.88,0.837543039,0.346802065
9.89,0.136841167,0.087921376
9.9,0.019272738,0.157467829
9.91,0.374379398,0.302822441
9.92,0.227841143,0.506403506
9.93,0.897786249,0.704047291
9.94,0.882286648,0.604842689
9.95,0.608922287,0.865549451
9.96,0.549547103,0.309395393
9.97,0.827697284,0.026226641
9.98,0.046817011,0.55664372
9.99,0.517650971,0.922768651
10,0.829204657,0.284028566
10.01,0.990895562,0.29765201
10.02,0.806046815,0.092939181
10.03,0.817442574,0.889206506
10.04,0.391198695,0.813323019
10.05,0.148452831,0.88350349
10.06,0.301701727,0.165304461
10.07,0.776795242,0.052904465
10.08,0.671657464,0.149011506
10.09,0.826939566,0.6704845
10.1,0.920696757,0.608076203
10.11,0.722041054,0.099562808
10.12,0.654018493,0.468541121
10.13,0.822191426,0.460153802
10.14,0.808548871,0.904882345
10.15,0.318509152,0.823286723
10.16,0.285739175,0.392370768
10.17,0.667302512,0.471871301
10.18,0.941949779,0.606457163
10.19,0.806522881,0.7096293
10.2,0.467068248,0.98813838
10.21,0.005247699,0.634735687
10.22,0.504057956,0.387115651
10.23,0.915932015,0.453907793
